title,price,location,review
Apple iPhone XR 64GB 128GB 256GB Unlocked Verizon AT&T T-Mobile Very Good,"IDR3,437,187.50 to IDR3,827,812.50",from United States,no review
Apple iPhone 12 PRO 128GB 256GB | Unlocked Verizon T-Mobile AT&T | Very Good,"IDR7,968,437.50 to IDR10,312,187.50",from United States,no review
Apple iPhone 12 Pro Max (A2342) - 128GB/256GB/512GB - (Unlocked) - EXCELLENT -,"IDR11,859,375.00 to IDR12,953,125.00",from United States,no review
Apple iPhone 11 Pro Max A2161 (GSM + CDMA) - Factory Unlocked - EXCELLENT -,"IDR8,421,875.00",from United States,no review
Apple iPhone 11 - 64GB - Factory Unlocked - Good Condition,"IDR4,843,593.75",from United States,no review
"Apple iPhone XS ,XS Max Unlocked Various Colors 64GB 256GB 512GB Smartphone Used","IDR3,515,468.75 to IDR5,937,343.75",from Japan,no review
Apple iPhone 11 64GB 128GB 256GB - Unlocked Smartphone - Excellent - Grade A,"IDR6,522,391.77",from United Kingdom,no review
Good Condition Apple iPhone 5c - 8/16/32GB - All Colors - UNLOCKED,"IDR468,750.00 to IDR656,250.00",from United States,no review
Apple iPhone XR Unlocked Various Colors 64GB 128GB 256GB Smartphone Used,"IDR3,359,218.75 to IDR4,374,843.75",from Japan,no review
Apple iPhone X Unlocked Various Colors 64GB 256GB Smartphone Used,"IDR3,201,562.50 to IDR3,671,718.75",from Japan,no review
Apple iPhone XR - 64GB - Factory Unlocked - Good Condition,"IDR3,421,718.75",from United States,no review
Apple iPhone 7 Plus Unlocked Various Colors 32GB 128GB 256GB Smartphone Used,"IDR2,187,343.75 to IDR3,124,843.75",from Japan,no review
"Apple iPhone 11 Pro, Pro Max Unlocked 64GB 256GB 512GBSmartphone Used","IDR6,562,343.75 to IDR10,937,343.75",from Japan,no review
Apple iPhone SE 2nd Gen (2020) - A2275 (GSM + CDMA) Unlocked - Very Good -,"IDR2,953,125.00",from United States,no review
Case Clear iPhone 11 12 13 14 PRO MAX Mini X XR 8 Shockproof Full Silicone Cover,"IDR18,449.58 to IDR66,157.58",from United Kingdom,no review
Apple iPhone 8 Unlocked - 64GB 256GB Smartphone All Colours Very Good Condition,"IDR2,887,638.52",from United Kingdom,no review
iPhone 11 11 Pro 11 Pro Max 64gb 128gb 256gb - All Colours - GRADE mix,"IDR4,938,523.44 to IDR7,454,375.00",from United Kingdom,no review
Apple iPhone 11 - 64GB 128GB 256GB - Unlocked + Verizon - Good Condition,"IDR4,531,093.75 to IDR5,468,593.75",from United States,no review
Apple iPhone SE 2020 64GB 128GB 256GB BRAND NEW Unlocked Smartphone 100% SEALED ,"IDR4,296,718.75",from United States,no review
Apple iPhone 6s Unlocked Various Colors 16GB 32GB 64GB 128GB Smartphone Used,"IDR1,168,750.00 to IDR1,562,343.75",from Japan,no review
Apple iPhone 12 Unlocked 64GB 128GB 256GB | Verizon T-Mobile AT&T | Very Good,"IDR6,874,687.50 to IDR8,749,687.50",from United States,no review
Shockproof FRONT + BACK Case Cover For iPhone 14 11 12 13 PRO MAX X XR XS 7 8,"IDR111,629.27",from United Kingdom,no review
Apple iPhone 12 PRO 128GB │256GB│512GB (UNLOCKED) 🔋 100% BATTERY 🔋 ✤SEALED✤,"IDR11,608,593.75 to IDR13,436,718.75",from United States,no review
"Apple iPhone 14 Pro Max Unlocked-USA eSim Version, pre-order...","IDR21,874,843.75 to IDR31,249,843.75",from United States,no review
Apple iPhone 12 Pro MAX 128GB 256GB | Unlocked Verizon AT&T T-Mobile | Very Good,"IDR9,765,312.50 to IDR12,109,062.50",from United States,no review
For iPhone Pro Max XR 13 Pro Max Clear Case + Magnetic Circle Shockproof Cover,"IDR167,537.08",from United Kingdom,no review
Apple iPhone SE 2020 (2nd Gen) CDMA/GSM Factory Unlocked 🔓  Very Good Condition,"IDR2,804,687.50 to IDR4,523,437.50",from United States,no review
Apple iPhone 13 Pro 128/256/512GB/1TB AT&T Sprint TMobile Unlocked VZW Very Good,"IDR8,593,593.75 to IDR13,437,343.75",from United States,no review
Apple iPhone 8 64GB 256GB - UNLOCKED - Grey/Silver/Gold/Red - Excellent Grade A,"IDR2,980,818.20",from United Kingdom,no review
Apple iPhone 11 - 64/128/256GB - Fully Unlocked (CDMA+GSM) - Good Condition,"IDR4,687,343.75 to IDR5,781,093.75",from United States,no review
Apple iPhone SE 16GB 32GB 64GB 128GB 4G Unlocked iOS Smartphone Grade Pristine,"IDR1,211,149.58",from United Kingdom,no review
Apple iPhone SE 2016 1st Gen 32GB Unlocked 4G 12MP  Good Condition 12M Warranty,"IDR931,610.52",from United Kingdom,no review
"New Apple iPhone 14 Pro Max 6.7""120Hz Real Dual Sim Apple A16 48MP Phone ByFedEx","IDR26,530,468.75 to IDR39,030,156.25",from Hong Kong,no review
"Apple iPhone 14 Pro Unlocked eSim, Pre-Order.. FREE 2 DAY SHIPPING!!!","IDR20,781,093.75 to IDR29,687,343.75",from United States,no review
